Title	Category	Theme	MD_TopicCategoryCode	Summary	File identifier	catalogue_page	thumbnail	geoserver_layer	geoserver_style	default_basemap	file_name	Spatial_representation_type	File type	start_time	end_time	Time period	Temporal resolution	Frequency	Spatial resolution	Spatial resolution as integer	Spatial resolution unit	Extent	Owner	cbs	lifelines	Unit	CRS	No-data value	show_on_map	available_years	Comments	Metadata last updated	Dataset last revised	Lineage_statement	Local path to XML file	Hosted XML file
Light-at-night 300m buffer	Built	Light at Night	environment	No summary	expanse_project_exposome_maps_LAN_B03_v2	Light_at_night	light_at_night	LAN_B03	LAN	dark	LAN_B03_XX_XX_%yr%_v2	grid	TIF	01_01_2000	01_12_2020	2000 - 2020	Annual	Every 5 years	100x100 m	100	m	Full EU	Kees de Hoogh	1	1	RAD	ETRS89-extended / LAEA Europe (EPSG: 3035)	255	TRUE	2000, 2005, 2010, 2015, 2020		8-1-2026	8-1-2026	Date  are availble in 5-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Light_at_night_300m_buffer.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Light_at_night_300m_buffer.xml
Light-at-night 500m buffer	Built	Light at Night	environment	No summary	expanse_project_exposome_maps_LAN_B05_v2	Light_at_night	light_at_night	LAN_B05	LAN	dark	LAN_B05_XX_XX_%yr%_v2	grid	TIF	01_01_2000	01_12_2020	2000 - 2020	Annual	Every 5 years	100x100 m	100	m	Full EU	Kees de Hoogh	1	1	RAD	ETRS89-extended / LAEA Europe (EPSG: 3035)	255	TRUE	2000, 2005, 2010, 2015, 2020		8-1-2026	8-1-2026	Date  are availble in 5-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Light_at_night_500m_buffer.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Light_at_night_500m_buffer.xml
Light-at-night 1000m buffer	Built	Light at Night	environment	No summary	expanse_project_exposome_maps_LAN_B10_v2	Light_at_night	light_at_night	LAN_B10	LAN	dark	LAN_B10_XX_XX_%yr%_v2	grid	TIF	01_01_2000	01_12_2020	2000 - 2020	Annual	Every 5 years	100x100 m	100	m	Full EU	Kees de Hoogh	1	1	RAD	ETRS89-extended / LAEA Europe (EPSG: 3035)	255	TRUE	2000, 2005, 2010, 2015, 2020		8-1-2026	8-1-2026	Date  are availble in 5-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Light_at_night_1000m_buffer.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Light_at_night_1000m_buffer.xml
Imperviousness 300m buffer	Built	Imperviousness	environment	No summary	expanse_project_exposome_maps_IMP_B03_v2	Imperviousness	imperviousness	IMP_B03	IMP		IMP_B03_XX_XX_%yr%_v2	grid	TIF	01_01_2006	01_12_2018	2006 - 2018	Annual	Every 3 years	100x100 m	100	m	Full EU	Kees de Hoogh	1	1	Percent	ETRS89-extended / LAEA Europe (EPSG: 3035)	255	TRUE	2006, 2009, 2012, 2015, 2018		8-1-2026	8-1-2026	Date  are availble in 3-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Imperviousness_300m_buffer.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Imperviousness_300m_buffer.xml
Imperviousness 500m buffer	Built	Imperviousness	environment	No summary	expanse_project_exposome_maps_IMP_B05_v2	Imperviousness	imperviousness	IMP_B05	IMP		IMP_B05_XX_XX_%yr%_v2	grid	TIF	01_01_2006	01_12_2018	2006 - 2018	Annual	Every 3 years	100x100 m	100	m	Full EU	Kees de Hoogh	1	1	Percent	ETRS89-extended / LAEA Europe (EPSG: 3035)	255	TRUE	2006, 2009, 2012, 2015, 2018		8-1-2026	8-1-2026	Date  are availble in 3-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Imperviousness_500m_buffer.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Imperviousness_500m_buffer.xml
Imperviousness 1000m buffer	Built	Imperviousness	environment	No summary	expanse_project_exposome_maps_IMP_B10_v2	Imperviousness	imperviousness	IMP_B10	IMP		IMP_B10_XX_XX_%yr%_v2	grid	TIF	01_01_2006	01_12_2018	2006 - 2018	Annual	Every 3 years	100x100 m	100	m	Full EU	Kees de Hoogh	1	1	Percent	ETRS89-extended / LAEA Europe (EPSG: 3035)	255	TRUE	2006, 2009, 2012, 2015, 2018		8-1-2026	8-1-2026	Date  are availble in 3-year intervals between the start and end years	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Imperviousness_1000m_buffer.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Imperviousness_1000m_buffer.xml
Distance to nearest blue space	Built	Blue spaces	environment	No summary	expanse_project_exposome_maps_BSW_DIS_v2	Distance_to_nearest_blue_space	nearest_blue	BSW_DIS	BSW		BSW_DIS_XX_XX_%yr%_v2	grid	TIF	01_01_2013	01_12_2013	2013	Annual		100x100 m	100	m	Full EU	Kees de Hoogh	1	1	meters	ETRS89-extended / LAEA Europe (EPSG: 3035)	32767	TRUE	2013		8-1-2026	8-1-2026	No lineage information	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Distance_to_nearest_blue_space.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Distance_to_nearest_blue_space.xml
Distance to nearest sea/ocean	Built	Blue spaces	environment	No summary	expanse_project_exposome_maps_BSS_DIS_v2	Distance_to_nearest_sea_ocean	nearest_sea	BSS_DIS	BSS		BSS_DIS_XX_XX_%yr%_v2	grid	TIF	01_01_2013	01_12_2013	2013	Annual		100x100 m	100	m	Full EU	Kees de Hoogh	1	1	meters	ETRS89-extended / LAEA Europe (EPSG: 3035)	65535	TRUE	2013		8-1-2026	8-1-2026	No lineage information	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Distance_to_nearest_sea_ocean.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Distance_to_nearest_sea_ocean.xml
Distance to nearest inland freshwater	Built	Blue spaces	environment	No summary	expanse_project_exposome_maps_BSI_DIS_v2	Distance_to_nearest_inland_freshwater	nearest_freshwater	BSI_DIS	BSI		BSI_DIS_XX_XX_%yr%_v2	grid	TIF	01_01_2013	01_12_2013	2013	Annual		100x100 m	100	m	Full EU	Kees de Hoogh	1	1	meters	ETRS89-extended / LAEA Europe (EPSG: 3035)	65535	TRUE	2013		8-1-2026	8-1-2026	No lineage information	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Distance_to_nearest_inland_freshwater.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Distance_to_nearest_inland_freshwater.xml
Walkabiliy 300m buffer	Built	Walkability	environment	No summary	expanse_project_exposome_maps_WAL_B03_v3	Walkabiliy	walkability	WAL_B03	WAL		WAL_B03_XX_XX_20_v3	grid	TIF	01_01_2020	01_12_2020	2020	Annual		100x100 m	100	m	Full EU	Kees de Hoogh	1	1	index	ETRS89-extended / LAEA Europe (EPSG: 3035)	9999	TRUE	2020		8-1-2026	8-1-2026	No lineage information	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Walkabiliy_300m_buffer.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Walkabiliy_300m_buffer.xml
Walkabiliy 500m buffer	Built	Walkability	environment	No summary	expanse_project_exposome_maps_WAL_B05_v3	Walkabiliy	walkability	WAL_B05	WAL		WAL_B05_XX_XX_20_v3	grid	TIF	01_01_2020	01_12_2020	2020	Annual		100x100 m	100	m	Full EU	Kees de Hoogh	1	1	index	ETRS89-extended / LAEA Europe (EPSG: 3035)	9999	TRUE	2020		8-1-2026	8-1-2026	No lineage information	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Walkabiliy_500m_buffer.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Walkabiliy_500m_buffer.xml
Walkabiliy 1000m buffer	Built	Walkability	environment	No summary	expanse_project_exposome_maps_WAL_B10_v3	Walkabiliy	walkability	WAL_B10	WAL		WAL_B10_XX_XX_20_v3	grid	TIF	01_01_2020	01_12_2020	2020	Annual		100x100 m	100	m	Full EU	Kees de Hoogh	1	1	index	ETRS89-extended / LAEA Europe (EPSG: 3035)	9999	TRUE	2020		8-1-2026	8-1-2026	No lineage information	C:/Users/5298954/Documents/Github_Repos/exposome-maps/metadata_XMLs/metadata_Walkabiliy_1000m_buffer.xml	https://nginx-xml-metadata-dgk-prd-expomaps.apps.cl01.cp.its.uu.nl/xml_metadata_files/metadata_XMLs/metadata_Walkabiliy_1000m_buffer.xml
